电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
Parasite,(2019),06/28/2019 (TW),"Comedy,Thriller,Drama",2h 13m,85,Korean,Bong Joon Ho,Han Jin-won,Act like you own the place.,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident."
The Lord of the Rings: The Return of the King,(2003),12/18/2003 (TW),"Adventure,Fantasy,Action",3h 21m,85,"$94,000,000.00",Peter Jackson,J. R. R. Tolkien,The eye of the enemy is moving.,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​"
Pulp Fiction,(1994),12/09/1994 (TW),"Thriller,Crime,Comedy",2h 34m,85,"$8,000,000.00",Quentin Tarantino,Roger Avary,You won’t know the facts until you’ve seen the fiction.,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
Your Name.,(2016),10/21/2016 (TW),"Animation,Romance,Drama",1h 46m,85,Japanese,Makoto Shinkai,,"Separated by distance, connected by fate.","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other."
"The Good, the Bad and the Ugly",(1966),12/23/1966 (IT),Western,2h 41m,85,Italian,Sergio Leone,Luciano Vincenzoni,For three men the Civil War wasn't hell. It was practice.,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold."
星際效應,(2014),11/07/2014 (TW),"Adventure,Drama,Science Fiction",2h 49m,85,English,Christopher Nolan,Jonathan Nolan,Mankind was born on Earth. It was never meant to die here.,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
Forrest Gump,(1994),10/15/1994 (TW),"Comedy,Drama,Romance",2h 22m,85,"$55,000,000.00",Robert Zemeckis,Winston Groom,The world will never be the same once you've seen it through the eyes of Forrest Gump.,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him."
Human,(2015),09/12/2015 (FR),Documentary,3h 11m,85,"$15,483,821.00",Yann Arthus-Bertrand,,Overview,"A collection of stories about and images of our world, offering an immersion to the core of what it means to be human. Through these stories full of love and happiness, as well as hatred and violence, it brings us face to face with the Other, making us reflect on our lives. From stories of everyday experiences to accounts of the most unbelievable lives, these poignant encounters share a rare sincerity and underline who we are – our darker side, but also what is most noble in us, and what is universal. Our Earth is shown at its most sublime through never-before-seen aerial images accompanied by soaring music, resulting in an ode to the beauty of the world, providing a moment to draw breath and for introspection. This film is a politically engaged work which allows us to embrace the human condition and to reflect on the meaning of our existence."
GoodFellas,(1990),10/20/1990 (TW),"Drama,Crime",2h 25m,85,"$25,000,000.00",Martin Scorsese,Nicholas Pileggi,Three decades of life in the mafia.,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."
Seven Samurai,(1954),04/26/1954 (JP),"Action,Drama",3h 27m,85,Japanese,Akira Kurosawa,Hideo Oguni,Unmatched for suspense and spectacle!,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food."
David Attenborough: A Life on Our Planet,(2020),09/28/2020 (GB),"Documentary,Drama",1h 23m,84,-,Alastair Fothergill,Keith Scholey,Overview,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations."
Grave of the Fireflies,(1988),07/08/2022 (TW),"Animation,Drama,War",1h 29m,84,Japanese,Isao Takahata,,Why do fireflies have to die so soon?,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive."
Life Is Beautiful,(1997),11/12/1999 (TW),"Comedy,Drama",1h 56m,84,Italian,Roberto Benigni,Vincenzo Cerami,"An unforgettable fable that proves love, family and imagination conquer all.",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.
Harakiri,(1962),09/15/1962 (JP),"Action,Drama,History",2h 15m,84,Japanese,Masaki Kobayashi,Yasuhiko Takiguchi,"What befalls others today, may be your own fate tomorrow.","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code."
Fight Club,(1999),11/11/1999 (TW),"Drama,Thriller",2h 19m,84,"$63,000,000.00",David Fincher,Chuck Palahniuk,Mischief. Mayhem. Soap.,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."
The Lord of the Rings: The Fellowship of the Ring,(2001),01/18/2002 (TW),"Adventure,Fantasy,Action",2h 59m,84,"$93,000,000.00",Peter Jackson,J. R. R. Tolkien,One ring to rule them all.,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
City of God,(2002),04/04/2003 (TW),"Drama,Crime",2h 9m,84,Portuguese,Fernando Meirelles,Paulo Lins,"If you run, the beast catches you; if you stay, the beast eats you.","In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime."
Cinema Paradiso,(1988),05/12/1990 (TW),"Drama,Romance",2h 4m,84,Italian,Giuseppe Tornatore,Vanna Paoli,An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist."
Impossible Things,(2021),06/17/2021 (MX),"Family,Drama",1h 28m,84,Spanish; Castilian,Ernesto Contreras,Estéfani Enríquez Soto,There are encounters that change your life,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor."
A Dog's Will,(2000),09/15/2000 (BR),"Comedy,Drama,Fantasy,Romance,Documentary",1h 44m,84,Portuguese,Guel Arraes,Ariano Suassuna,Lying with faith is not always a sin.,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise."
Squid Game: Making Season 2,(2025),01/03/2025 (TW),Documentary,28m,84,Korean,,,Overview,"From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life."
Psycho,(1960),06/22/1960 (US),"Horror,Thriller,Mystery",1h 49m,84,"$806,947.00",Alfred Hitchcock,Robert Bloch,A new and altogether different screen excitement!,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother."
One Flew Over the Cuckoo's Nest,(1975),11/19/1975 (US),Drama,2h 13m,84,"$3,000,000.00",Miloš Forman,Ken Kesey,"In this clean, orderly, disciplined world, who needs guys like McMurphy? Everybody.","A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward."
The Lord of the Rings: The Two Towers,(2002),12/18/2002 (US),"Adventure,Fantasy,Action",2h 59m,84,"$79,000,000.00",Peter Jackson,J. R. R. Tolkien,The journey continues.,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
Gabriel's Inferno,(2020),05/29/2020 (US),"Romance,Drama",2h 2m,84,-,Tosca Musk,Sylvain Reynard,Overview,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love."
Spider-Man: Into the Spider-Verse,(2018),12/13/2018 (TW),"Animation,Action,Adventure,Science Fiction",1h 57m,84,"$90,000,000.00",Rodney Rothman,Phil Lord,More than one wears the mask.,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension."
Hope,(2013),03/21/2014 (TW),Drama,2h 2m,84,Korean,Lee Joon-ik,Jo Joong-hoon,We won't let her shed tears again.,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief."
The Empire Strikes Back,(1980),05/21/1980 (US),"Adventure,Action,Science Fiction",2h 4m,84,"$18,000,000.00",Irvin Kershner,Leigh Brackett,The Star Wars saga continues.,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."
Bring the Soul: The Movie,(2019),08/07/2019 (KR),"Music,Documentary",1h 45m,83,Korean,Park Jun-soo,,"Forever, we are young.","A glimpse into K-pop group BTS’ world away from the stage, featuring intimate group discussions alongside spectacular concert performances from their world tour."
Howl's Moving Castle,(2004),02/04/2005 (TW),"Fantasy,Animation,Adventure",1h 59m,84,Japanese,Hayao Miyazaki,Diana Wynne Jones,The two lived there.,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king."
Once Upon a Time in America,(1984),03/31/2018 (TW),"Drama,Crime",3h 49m,84,"$30,000,000.00",Sergio Leone,Harry Grey,"Crime, passion and lust for power.","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
A Silent Voice: The Movie,(2016),03/24/2017 (TW),"Animation,Drama,Romance",2h 9m,84,Japanese,Naoko Yamada,Reiko Yoshida,Sometimes the answer is as simple as learning to listen.,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?"
Se7en,(1995),11/10/1995 (TW),"Crime,Mystery,Thriller",2h 7m,84,"$33,000,000.00",David Fincher,Andrew Kevin Walker,Gluttony. Greed. Sloth. Envy. Wrath. Pride. Lust.,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
The Pianist,(2002),06/20/2003 (TW),"Drama,War",2h 30m,84,"$35,000,000.00",Roman Polanski,Ronald Harwood,Music was his passion. Survival was his masterpiece.,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city."
Whiplash,(2014),10/10/2014 (US),"Drama,Music",1h 47m,84,"$3,300,000.00",Damien Chazelle,,The road to greatness can take you to the edge.,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity."
Gabriel's Inferno: Part II,(2020),07/31/2020 (US),"Romance,Drama",1h 46m,84,-,Tosca Musk,Sylvain Reynard,Overview,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?"
Inception,(2010),07/16/2010 (TW),"Action,Science Fiction,Adventure",2h 28m,84,"$160,000,000.00",Christopher Nolan,,Your mind is the scene of the crime.,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
Burn the Stage: The Movie,(2018),11/15/2018 (KR),"Music,Documentary",1h 25m,84,Korean,Park Jun-soo,,"From the deserts to the seas, we were always together.","Burn the Stage: the Movie is the first movie from BTS, going behind-the-scenes of the BTS WINGS TOUR to reveal the full story of the band’s meteoric rise to fame. This unmissable film provides an intimate look at what happens when the most successful global boy band of all time breaks down barriers and invades the mainstream music scene. Exclusive tour footage and brand-new one-on-one interviews with BTS members give fans an unprecedented glimpse into their lives and an opportunity for everyone to celebrate together worldwide."
Gabriel's Inferno: Part III,(2020),11/19/2020 (US),"Romance,Drama",1h 42m,84,-,Tosca Musk,Sylvain Reynard,Overview,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.
Lucy Shimmers and the Prince of Peace,(2020),10/19/2020 (US),"Drama,Family",1h 27m,84,-,Rob Diamond,,Overview,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.
High and Low,(1963),03/01/1963 (JP),"Drama,Crime",2h 22m,83,Japanese,Akira Kurosawa,Evan Hunter,"Stark, intense drama almost beyond belief!",A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.
The Silence of the Lambs,(1991),07/10/2020 (TW),"Crime,Thriller,Drama",1h 59m,83,"$19,000,000.00",Jonathan Demme,Thomas Harris,To enter the mind of a killer she must challenge the mind of a madman.,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out."
Rear Window,(1954),08/01/1954 (US),"Thriller,Mystery",1h 52m,83,"$1,000,000.00",Alfred Hitchcock,John Michael Hayes,It only takes one witness to spoil the perfect crime.,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
Chainsaw Man - The Movie: Reze Arc,(2025),09/26/2025 (TW),"Animation,Action,Romance,Fantasy",1h 39m,83,Japanese,Tatsuya Yoshihara,Hiroshi Seko,Overview,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules."
Radical,(2023),10/19/2023 (MX),Drama,2h 5m,83,"$10,000,000.00",Christopher Zalla,,Think for yourself.,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius."
Spider-Man: Across the Spider-Verse,(2023),06/21/2023 (TW),"Animation,Action,Adventure,Science Fiction",2h 20m,83,"$100,000,000.00",Justin K. Thompson,Joaquim Dos Santos,It's how you wear the mask that matters.,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most."
American History X,(1998),10/30/1998 (US),Drama,1h 59m,83,"$20,000,000.00",Tony Kaye,David McKenna,Some legacies must end.,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did."
Stop Making Sense,(1984),01/01/2026 (TW),"Documentary,Music",1h 28m,83,"$1,200,000.00",Jonathan Demme,,Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?,"A concert film documenting Talking Heads at the height of their popularity, on tour for their 1983 album ""Speaking in Tongues."" The band takes the stage one by one and is joined by a cadre of guest musicians for a career-spanning and cinematic performance that features creative choreography and visuals."
Back to the Future,(1985),10/25/1985 (TW),"Adventure,Comedy,Science Fiction",1h 56m,83,"$19,000,000.00",Robert Zemeckis,Bob Gale,He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all.,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
Princess Mononoke,(1997),08/02/1997 (TW),"Adventure,Fantasy,Animation",2h 14m,83,Japanese,Hayao Miyazaki,,The fate of the world rests on the courage of one warrior.,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict."
The Legend of Hei,(2019),08/27/2019 (CN),"Animation,Fantasy,Action",1h 42m,83,Chinese,MTJJ,Kexin Peng,One Small Spirit Will Determine the Fate of the World.,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans."
Ikiru,(1952),10/09/1952 (JP),Drama,2h 23m,83,Japanese,Akira Kurosawa,Shinobu Hashimoto,A big story of a little man which will grip your soul...,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life."
The Wild Robot,(2024),10/10/2024 (TW),"Animation,Science Fiction,Family,Adventure,Drama",1h 42m,83,"$78,000,000.00",Chris Sanders,Peter Brown,Discover your true nature.,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
Dead Poets Society,(1989),03/08/1990 (TW),Drama,2h 9m,83,"$16,400,000.00",Peter Weir,Tom Schulman,He was their inspiration. He made their lives extraordinary.,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."
Dou kyu sei – Classmates,(2016),02/20/2016 (JP),"Romance,Animation",1h 1m,83,Japanese,Shoko Nakamura,Asumiko Nakamura,"Sincerely, Slowly, Falling in Love.","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together."
Perfect Blue,(1998),07/17/2020 (TW),"Animation,Thriller",1h 22m,83,Japanese,Satoshi Kon,Yoshikazu Takeuchi,"""excuse me... who are you?""","Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia."
Ennio,(2022),03/17/2023 (TW),"Documentary,Music,History",2h 36m,83,-,Giuseppe Tornatore,,Overview,"A portrait of Ennio Morricone, the most popular and prolific film composer of the 20th century, the one most loved by the international public, a two-time Oscar winner and the author of over five hundred unforgettable scores."
The Quintessential Quintuplets Movie,(2022),05/20/2022 (JP),"Animation,Comedy,Romance",2h 16m,83,Japanese,Masato Jimbo,Keiichiro Ochi,Overview,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?"
Violet Evergarden: The Movie,(2020),09/30/2020 (TW),"Animation,Drama,Fantasy,Romance",2h 20m,83,Japanese,Taichi Ishidate,Kana Akatsuki,Overview,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again."
Léon: The Professional,(1994),02/11/1995 (TW),"Crime,Drama,Action",1h 51m,83,French,Luc Besson,,"If you want the job done right, hire a professional.","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps."
We All Loved Each Other So Much,(1974),12/21/1974 (IT),"Drama,Comedy",2h 5m,83,Italian,Ettore Scola,Agenore Incrocci,A many splendored thing.,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond."
Dedicated to my ex,(2019),11/08/2019 (EC),"Drama,Comedy",1h 34m,83,Spanish; Castilian,Jorge Ulloa,Nataly Valencia,Overview,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities."
A Brighter Summer Day,(1991),07/27/1991 (TW),"Crime,Drama,Romance",3h 57m,83,Chinese,Edward Yang,Yen Hung-ya,Overview,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan."
The Great Dictator,(1940),10/23/1940 (US),"Comedy,War",2h 5m,83,"$2,000,000.00",Charlie Chaplin,,Once again - the whole world laughs!,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Sunset Boulevard,(1950),08/10/1950 (US),Drama,1h 50m,83,"$1,752,000.00",Billy Wilder,Charles Brackett,A Hollywood Story.,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.
Modern Times,(1936),02/12/1936 (US),"Comedy,Drama,Romance",1h 27m,83,"$1,500,000.00",Charlie Chaplin,,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!","A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time.."
